playerid,year,teamName,League,Level,orgName,lastName,firstName,G,AB,R,H,Dbl,Tpl,HR,RBI,SB,CS,BB,IBB,SO,SH,SF,HBP,GDP,Bavg,Slg,obp,OPS,Age,HT,WT,Bats,Throws,posit,borndate,cityName,regionID,Predicted_WAR,MakeIt_PredictedWAR,Likelihood
142762,2017,Louisville,IL,AAA,CIN,Nieto,Adrian,27,93,7,19,3,0,0,6,0,1,5,0,17,1,1,1,2,0.204,0.237,0.25,487,27,6-0,200,B,R,C,11/12/1989,Havana,CU,4.37812758958747,0.0175125103583499,0.004
142803,2017,Lehigh Valley,IL,AAA,PHI,Martinez,Harold,12,29,4,4,0,1,0,0,0,0,0,0,13,0,0,1,1,0.138,0.207,0.167,374,27,6-3,190,R,R,3B,5/3/1990,Miami,FL,6.92711214191957,0.0415626728515174,0.006
142814,2017,Veracruz,Mex,AAA,-,Ramirez,J.P.,25,62,3,13,3,0,0,8,0,0,2,1,11,1,3,0,2,0.21,0.258,0.224,482,27,5-10,185,L,L,LF,9/29/1989,New Braunfels,TX,4.98558511838335,0.299135107103001,0.06
142820,2017,New Orleans,PCL,AAA,MIA,Nola,Austin,29,89,7,18,4,0,1,6,0,0,10,4,16,4,1,1,3,0.202,0.281,0.287,568,27,6-2,200,R,R,SS,12/28/1989,Baton Rouge,LA,5.13219698437363,0.184759091437451,0.036
142821,2017,Gwinnett,IL,AAA,ATL,Avery,Xavier,121,371,65,96,21,5,14,52,21,7,59,1,159,1,3,2,5,0.259,0.456,0.361,817,27,5-11,180,L,L,OF,1/1/1990,Decatur,GA,3.06798481315916,1.65057582947963,0.538
142834,2017,Frisco,Tex,AA,TEX,Bolinger,Royce,91,325,38,76,18,1,9,38,0,0,15,0,102,0,2,7,8,0.234,0.378,0.281,659,26,6-2,195,R,R,OF,8/12/1990,Newport Beach,CA,4.38311190725611,0.167419965920088,0.0381965985497494
142837,2017,Syracuse,IL,AAA,WAS,Collier,Zach,31,108,23,28,6,0,5,12,4,2,13,0,27,0,0,0,0,0.259,0.454,0.339,793,26,6-2,185,L,L,OF,9/8/1990,Chino Hills,CA,6.88657419878309,0.234143522758625,0.034
142847,2017,Colorado Springs,PCL,AAA,MIL,Garcia,Rene,34,121,13,42,6,0,3,28,0,0,4,1,11,1,1,0,5,0.347,0.471,0.365,836,27,6-0,172,R,R,C,3/21/1990,San Juan,PR,6.40315691333048,0.140869452093271,0.022
142866,2017,Round Rock,PCL,AAA,TEX,Jimenez,A.J.,51,196,18,48,9,0,7,16,1,0,7,0,45,0,2,2,4,0.245,0.398,0.275,673,27,6-0,185,R,R,C,5/1/1990,San Juan,PR,3.97875492554422,1.29707410572741,0.326
142877,2017,Leon,Mex,AAA,-,Vasquez,Niko,69,239,46,69,14,0,9,36,6,2,22,2,59,2,3,6,6,0.289,0.46,0.359,819,28,5-11,175,R,R,3B-2B,2/26/1989,Las Vegas,NV,5.93330350396017,0.664529992443539,0.112
142882,2017,Scranton/WB,IL,AAA,NYA,Higashioka,Kyle,14,53,5,14,4,0,2,11,0,0,4,0,7,0,0,0,0,0.264,0.453,0.316,769,27,6-1,190,R,R,C,4/20/1990,Huntington Beach,CA,10.0769283139048,1.65261624348038,0.164
142903,2017,Syracuse,IL,AAA,WAS,Joseph,Corban,34,108,8,25,7,0,0,13,1,1,8,0,15,0,1,0,1,0.231,0.296,0.282,578,28,6-0,168,L,R,2B,10/28/1988,Franklin,TN,3.74758830486308,1.4615594388966,0.39
142923,2017,Indianapolis,IL,AAA,PIT,Ortiz,Danny,110,411,47,111,30,1,15,63,5,2,19,5,80,2,6,3,4,0.27,0.457,0.303,760,27,5-11,166,L,L,OF,1/5/1990,Cayey,PR,3.17048758327925,0.67848434282176,0.214
142960,2017,Iowa,PCL,AAA,CHN,Davis,Taylor,102,357,41,106,27,1,6,62,0,3,37,0,45,3,8,1,14,0.297,0.429,0.357,786,27,5-11,190,R,R,C,11/28/1989,Tampa,FL,6.23044594228519,0.573201026690237,0.092
142990,2017,Charlotte,IL,AAA,CHA,Blair,Carson,36,123,15,26,7,0,5,15,0,1,12,0,51,1,0,3,4,0.211,0.39,0.297,687,27,6-1,190,R,R,C,10/18/1989,Argyle,TX,5.31010190198166,0.700933451061579,0.132
142998,2017,New Orleans,PCL,AAA,MIA,Galloway,Isaac,26,75,12,21,0,0,7,16,5,0,7,0,21,0,0,1,0,0.28,0.56,0.349,909,27,6-2,190,R,R,OF,10/10/1989,Rancho Cucamonga,CA,3.59291884216543,0.610796203168123,0.17
143085,2017,Syracuse,IL,AAA,WAS,Gonzalez,Bengie,31,90,9,23,3,0,0,5,0,0,9,1,10,0,0,0,2,0.256,0.289,0.323,612,27,5-11,160,R,R,3B-OF,1/16/1990,Caguas,PR,6.52121479126723,0.495612324136309,0.076
143091,2017,Round Rock,PCL,AAA,TEX,Torres,Kevin,6,20,3,6,1,0,1,1,0,0,2,0,6,0,0,0,2,0.3,0.5,0.364,864,27,6-3,193,L,R,1B,2/24/1990,Ponce,PR,5.78656515597956,0.104158172807632,0.018
