"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Marshall McDougall","Rangers (AAA)","27","4","14","14","3","2","1","0","0","1","1","0","0","1","0","0","0","1","0","0",".214","2128"
"Mike DiRosa","Blue Jays (A+)","26","4","14","16","3","1","2","0","0","3","2","2","0","6","0","0","0","0","0","0",".214","sa201065"
"Ron Chiavacci","- - -","28","12","14","16","3","3","0","0","0","0","0","0","0","5","0","0","2","0","0","0",".214","sa211480"
"Maikol Mesa","Reds (R)","20","19","42","48","9","6","1","2","0","6","4","4","0","8","0","1","1","1","0","0",".214","sa295215"
"Rommel Mendoza","Royals (R)","17","19","56","66","12","11","1","0","0","8","9","8","0","9","1","0","1","0","1","2",".214","sa3000418"
"Julian Yan","Mexican (AAA)","40","18","56","64","12","10","1","0","1","4","3","7","0","13","0","1","0","1","1","0",".214","sa3001138"
"Jose Palacios","Padres (R)","19","32","84","102","18","18","0","0","0","14","5","16","1","20","0","0","2","2","2","1",".214","sa3001287"
"Pedro Perez","Marlins (R)","17","42","140","155","30","20","9","0","1","18","17","12","0","42","1","0","2","7","0","0",".214","sa3001492"
"Herison Pena","Tigers (R)","17","19","56","66","12","9","3","0","0","7","10","3","0","19","5","2","0","1","0","0",".214","sa3001550"
"Yeurys Tejeda","Nationals (R)","18","56","196","214","42","29","9","1","3","23","26","11","0","69","6","1","0","6","12","5",".214","sa455968"
"Julio Izturis","Giants (R)","16","44","98","129","21","19","1","1","0","17","7","16","0","21","6","1","8","2","10","6",".214","sa502599"
"Sergio Santos","Blue Jays (AAA)","22","128","481","509","103","73","24","1","5","48","38","24","1","96","2","0","2","18","1","3",".214","4734"
"Bret Berglund","- - -","23","72","257","293","55","38","9","4","4","36","28","21","0","79","11","2","2","2","11","2",".214","sa291152"
"Eduardo Nunez","- - -","19","127","491","532","105","77","16","6","6","53","66","31","1","76","2","4","4","9","22","6",".214","6848"
"Daniel Stegall","Mets (R)","18","40","145","171","31","25","5","1","0","18","18","23","0","42","1","1","1","4","5","2",".214","sa326842"
"Sean Burroughs","Devil Rays (AAA)","25","37","131","143","28","25","2","0","1","8","11","9","0","29","1","1","1","5","1","3",".214","1021"
"Domonic Brown","Phillies (R)","18","34","117","131","25","21","3","0","1","13","7","12","0","30","1","0","1","2","13","3",".214","3154"
"Christopher Jones","- - -","23","43","117","136","25","17","8","0","0","16","7","13","0","25","4","0","2","3","1","1",".214","sa291765"
"Ramiro Mendez","- - -","21","61","234","264","50","31","8","2","9","38","35","26","0","66","0","3","1","7","9","3",".214","sa291769"
"Daniel Figueroa","- - -","23","33","117","141","25","19","4","1","1","10","12","17","0","34","5","1","1","1","9","3",".214","sa302344"
"Anthony Manuel","- - -","23","42","103","130","22","17","5","0","0","14","17","16","0","17","5","2","4","1","4","5",".214","sa291127"
"Jeff Christy","- - -","22","32","103","120","22","17","4","0","1","11","13","15","0","17","1","1","0","3","0","0",".214","sa326791"
"Anthony Granato","Rockies (A+)","25","27","89","113","19","13","5","0","1","20","9","20","0","24","2","1","1","2","9","2",".213","sa253795"
