"Name","Team","Age","PA","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Eduardo Arredondo","Mexican (AAA)","23","330",".368","2.23","15.5 %","58.3 %","26.1 %","14.5 %","1.4 %","43.4 %","24.6 %","32.0 %","2.6 %","429","719","1148","sa508008"
"Andrew Romine","Angels (A)","22","543",".303","1.29","15.8 %","47.5 %","36.7 %","18.0 %","1.4 %","39.9 %","27.2 %","32.9 %","16.9 %","251","648","899","1159"
"Hainley Statia","Angels (AA)","22","252",".256","1.43","16.3 %","49.3 %","34.5 %","21.4 %","1.4 %","47.0 %","26.5 %","26.5 %","5.2 %","266","502","768","sa254151"
"Robedluis Fuentes","Giants (R)","19","248",".343","1.13","12.9 %","46.2 %","40.9 %","20.0 %","1.4 %","38.4 %","36.3 %","25.3 %","20.3 %","116","279","395","sa3001488"
"Jay Miller","- - -","24","297",".279","1.63","19.3 %","50.0 %","30.7 %","10.0 %","1.4 %","39.7 %","17.7 %","42.6 %","15.9 %","127","340","467","sa328009"
"Isaias Velasquez","Indians (A-)","20","282",".335","1.41","12.0 %","51.6 %","36.5 %","31.4 %","1.4 %","48.3 %","22.0 %","29.8 %","23.0 %","143","345","488","sa392362"
"Jose Heberto Felix","Rangers (A)","20","326",".293","2.19","12.9 %","59.8 %","27.3 %","27.1 %","1.4 %","29.0 %","22.3 %","48.7 %","20.8 %","69","387","456","sa447630"
"Isaac Galloway","Marlins (R)","18","211",".333","1.13","7.5 %","49.1 %","43.5 %","14.3 %","1.4 %","41.0 %","33.5 %","25.4 %","27.5 %","26","272","298","sa454974"
"Robert De La Cruz","Rockies (R)","18","188",".351","0.63","11.6 %","34.1 %","54.3 %","27.1 %","1.4 %","30.7 %","43.8 %","25.6 %","23.9 %","83","235","318","sa506303"
"Edward Suero","- - -","18","258",".297","0.86","9.1 %","42.0 %","49.0 %","22.9 %","1.4 %","48.3 %","34.0 %","17.7 %","27.2 %","188","315","503","sa550464"
"Ramiro Pena","Yankees (AA)","22","506",".321","1.14","15.4 %","45.1 %","39.5 %","11.3 %","1.4 %","35.4 %","29.8 %","34.9 %","25.8 %","181","641","822","8841"
"Derrick Arnold","- - -","24","254",".301","0.93","20.8 %","38.2 %","41.0 %","18.3 %","1.4 %","55.3 %","20.7 %","24.0 %","18.3 %","176","481","657","sa253855"
"Jose Gil","Yankees (A+)","21","270",".282","1.45","14.3 %","50.7 %","35.0 %","28.2 %","1.4 %","54.1 %","20.6 %","25.4 %","23.7 %","72","333","405","sa294329"
"Carlos Reyes","Astros (R)","20","278",".322","1.14","12.6 %","46.6 %","40.8 %","23.9 %","1.4 %","41.7 %","31.1 %","27.2 %","26.1 %","135","375","510","sa507425"
