"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Andres Blanco","Phillies (AAA)","28","461","8.5 %","16.7 %","0.51",".235",".301",".346",".648",".111","3.4",".264","-0.9","41","-11.7",".293","78","1907"
"James Baldwin","Dodgers (A)","20","496","9.1 %","35.7 %","0.25",".209",".293",".334",".627",".125","9.2",".332","7.0","48","-12.1",".293","80","sa548307"
"Juniel Querecuto","Rays (A)","19","436","8.7 %","18.1 %","0.48",".249",".316",".303",".619",".054","5.4",".311","-0.1","42","-10.7",".293","80","12140"
"Josh Parr","- - -","22","452","4.6 %","18.1 %","0.26",".218",".290",".323",".613",".105","6.3",".257","0.3","41","-12.2",".293","78","sa579806"
"Ivan Mora","Orioles (R)","17","144","2.8 %","21.5 %","0.13",".234",".273",".328",".602",".094","8.4",".300","0.1","13","-4.6",".293","74","sa657785"
"Cito Culver","Yankees (A)","19","550","12.9 %","18.9 %","0.68",".215",".321",".283",".604",".069","6.6",".268","-1.1","51","-17.5",".293","75","sa548315"
"Chuck Taylor","Diamondbacks (R)","18","233","8.6 %","23.6 %","0.36",".234",".310",".288",".598",".054","7.8",".318","-0.7","24","-10.8",".293","69","sa658001"
"Brian McConkey","- - -","23","173","11.0 %","23.1 %","0.48",".219",".318",".278",".596",".060","3.0",".291","-0.9","16","-4.0",".293","80","sa549695"
"Detriano De La Cruz","Dodgers (R)","20","31","3.2 %","32.3 %","0.10",".250",".276",".321",".597",".071","2.6",".389","0.0","3","-1.0",".293","74","sa607178"
"Adam Weisenburger","- - -","23","251","10.8 %","19.5 %","0.55",".212",".321",".274",".595",".061","2.9",".264","-0.8","22","-6.9",".293","75","sa546626"
"Diego Madero","Mexican (AAA)","20","227","4.0 %","15.0 %","0.26",".260",".289",".367",".656",".107","3.6",".292","-0.2","19","-11.5",".292","62","sa651307"
