"Name","Team","Age","IP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"Brallan Perez","Rangers (A-)","20","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.23","0.23","0.51","sa736999"
"Oswaldo Garcia","Angels (R)","20","6.0","15.00","0.00","10.00","0.00","47.6 %","0.0 %","47.6 %",".143","0.50",".273","100.0 %","0.00","-0.22","0.22","0.12","sa736757"
"Mike Dunn","Marlins (A+)","31","3.0","15.00","0.00","5.00","0.00","41.7 %","0.0 %","41.7 %",".167","0.67",".286","100.0 %","0.00","-0.08","0.08","0.45","9948"
"Branden Pinder","Yankees (AAA)","27","5.0","14.40","0.00","8.00","0.00","47.1 %","0.0 %","47.1 %",".118","0.40",".222","100.0 %","0.00","-0.03","0.03","1.45","12093"
"Darel Torres","Rangers (R)","17","2.0","13.50","0.00","3.00","0.00","50.0 %","0.0 %","50.0 %",".000","0.00",".000","100.0 %","0.00","0.11","-0.11","0.32","sa947269"
"James Carter","Dodgers (R)","22","1.0","18.00","0.00","2.00","0.00","40.0 %","0.0 %","40.0 %",".200","1.00",".333","0.0 %","9.00","0.12","8.88","0.71","sa829574"
"Steven Ridings","Mariners (R)","22","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","0.12","-0.12","0.12","sa918658"
"Zac Gallen","Cardinals (R)","20","9.2","13.97","0.00","15.00","0.00","41.7 %","0.0 %","41.7 %",".194","0.72",".333","71.4 %","1.86","0.23","1.63","0.55","sa857550"
"Wade Miley","Mariners (A-)","29","4.0","15.75","0.00","7.00","0.00","58.3 %","0.0 %","58.3 %",".000","0.00",".000","100.0 %","0.00","0.27","-0.27","0.45","8779"
"Tanner Kirk","Orioles (R)","22","2.0","13.50","0.00","3.00","0.00","42.9 %","0.0 %","42.9 %",".286","1.00",".500","100.0 %","0.00","0.33","-0.33","1.12","sa918907"
"Arodys Vizcaino","- - -","25","2.0","13.50","0.00","3.00","0.00","37.5 %","0.0 %","37.5 %",".250","1.00",".400","50.0 %","4.50","0.37","4.13","1.57","5498"
"Clayton Kershaw","Dodgers (A+)","28","3.0","15.00","0.00","5.00","0.00","55.6 %","0.0 %","55.6 %",".111","0.33",".250","100.0 %","0.00","0.38","-0.38","0.38","2036"
"Chuck Moorman","Rangers (A)","22","0.2","13.50","0.00","1.00","0.00","50.0 %","0.0 %","50.0 %",".000","0.00",".000","100.0 %","0.00","0.40","-0.40","1.82","sa658355"
"Gerrion Grim","Orioles (A)","22","0.2","13.50","0.00","1.00","0.00","50.0 %","0.0 %","50.0 %",".000","0.00",".000","100.0 %","0.00","0.40","-0.40","1.82","sa829326"
"Heath Hembree","Red Sox (AAA)","27","13.1","14.85","2.03","7.33","0.00","44.9 %","6.1 %","38.8 %",".130","0.68",".250","88.9 %","0.68","0.54","0.13","1.26","11632"
"Gerrit Cole","Pirates (AAA)","25","8.0","13.50","0.00","12.00","0.00","42.9 %","0.0 %","42.9 %",".148","0.50",".267","100.0 %","0.00","0.54","-0.54","1.34","13125"
"Brian Bien","Royals (A+)","23","0.2","13.50","0.00","1.00","0.00","50.0 %","0.0 %","50.0 %",".000","0.00",".000","100.0 %","0.00","0.55","-0.55","0.55","sa876071"
"Keone Kela","- - -","23","4.0","15.75","0.00","7.00","0.00","38.9 %","0.0 %","38.9 %",".118","0.50",".200","100.0 %","0.00","0.57","-0.57","2.03","14696"
"Kyle Hart","Red Sox (R)","23","11.2","14.66","1.54","9.50","0.00","38.8 %","4.1 %","34.7 %",".255","1.20",".429","64.3 %","2.31","0.59","1.73","0.99","sa918414"
"Tommy Henriquez","Blue Jays (R)","20","4.0","18.00","4.50","4.00","0.00","44.4 %","11.1 %","33.3 %",".250","1.50",".500","50.0 %","4.50","0.61","3.89","0.82","sa872472"
"Gary Cornish","Mets (A-)","22","25.0","15.84","1.08","14.67","0.36","44.0 %","3.0 %","41.0 %",".247","1.08",".442","82.0 %","2.16","0.64","1.52","0.54","sa829472"
"Alberto Rosario","Cardinals (AAA)","29","0.2","13.50","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".500","3.00",".667","100.0 %","0.00","0.72","-0.72","2.53","7125"
"Vinnie Pestano","Yankees (AAA)","31","10.2","13.50","0.84","16.00","0.00","38.1 %","2.4 %","35.7 %",".200","0.84",".333","60.0 %","3.37","0.73","2.64","1.43","4782"
"Daniel Moritz","Blue Jays (R)","21","2.1","11.57","0.00","3.00","0.00","30.0 %","0.0 %","30.0 %",".300","1.29",".429","100.0 %","0.00","0.76","-0.76","0.98","sa950401"
"Cameron Seitzer","Rays (AAA)","26","1.2","10.80","0.00","2.00","0.00","40.0 %","0.0 %","40.0 %",".000","0.00",".000","100.0 %","0.00","0.77","-0.77","0.77","sa578022"
"Will Smith","- - -","26","4.0","11.25","0.00","5.00","0.00","38.5 %","0.0 %","38.5 %",".077","0.25",".125","100.0 %","0.00","0.77","-0.77","1.19","8048"
"Louis Coleman","- - -","30","4.0","13.50","0.00","6.00","0.00","35.3 %","0.0 %","35.3 %",".294","1.25",".455","80.0 %","0.00","0.82","-0.82","2.03","9720"
"Ramon Tineo","Indians (R)","20","7.0","14.14","1.29","11.00","0.00","37.9 %","3.5 %","34.5 %",".222","1.00",".375","75.0 %","2.57","0.83","1.74","1.24","sa828373"
"Jeffri Ocando","Rockies (R)","17","23.0","11.35","0.39","29.00","0.00","34.5 %","1.2 %","33.3 %",".171","0.65",".264","87.5 %","0.39","0.85","-0.46","1.05","sa923379"
"Tucker Tubbs","Red Sox (A-)","23","1.2","10.80","0.00","2.00","0.00","33.3 %","0.0 %","33.3 %",".167","0.60",".250","100.0 %","0.00","0.88","-0.88","1.23","sa827145"
"Yeison Santana","Diamondbacks (R)","19","46.1","11.46","1.17","9.83","0.00","36.0 %","3.7 %","32.3 %",".158","0.67",".253","80.7 %","0.58","0.95","-0.37","1.09","sa828470"
"Carson Smith","Red Sox (AA)","26","1.2","10.80","0.00","2.00","0.00","40.0 %","0.0 %","40.0 %",".000","0.00",".000","100.0 %","0.00","0.96","-0.96","0.96","13172"
"Angel Miguel","Indians (A)","26","2.0","18.00","4.50","4.00","0.00","57.1 %","14.3 %","42.9 %",".000","0.50",".000","100.0 %","0.00","0.97","-0.97","1.70","sa913806"
"Bryan Valdez","Diamondbacks (R)","21","67.2","11.44","0.67","17.20","0.13","35.0 %","2.0 %","32.9 %",".179","0.71",".275","75.6 %","1.73","1.03","0.70","1.13","sa919377"
"Dylan Stoops","Padres (A+)","24","5.2","14.29","1.59","9.00","0.00","30.0 %","3.3 %","26.7 %",".448","2.47",".650","64.3 %","7.94","1.07","6.87","1.96","sa709511"
"Aristides Sanchez","Reds (R)","19","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.11","-1.11","1.94","sa872536"
"Felix Arosemena","Marlins (R)","19","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.11","-1.11","1.53","sa876037"
"Edintson Naranjo","Yankees (R)","19","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.11","-1.11","1.11","sa879506"
"Jordan Watson","- - -","22","12.2","16.34","2.84","5.75","0.00","44.2 %","7.7 %","36.5 %",".167","0.95",".320","50.0 %","2.84","1.13","1.71","1.66","sa918043"
"Juan Pablo Perez","Mexican (AAA)","37","9.1","17.36","4.82","3.60","0.00","36.0 %","10.0 %","26.0 %",".356","2.25",".593","57.1 %","6.75","1.16","5.59","1.61","2557"
"Brody Greer","Diamondbacks (A)","25","8.2","13.50","2.08","6.50","0.00","35.1 %","5.4 %","29.7 %",".286","1.38",".455","50.0 %","6.23","1.17","5.06","1.67","sa747416"
"Julio Teheran","Braves (AAA)","25","5.0","9.00","0.00","5.00","0.00","27.8 %","0.0 %","27.8 %",".167","0.60",".231","33.3 %","1.80","1.17","0.63","1.38","6797"
"Wade Davis","- - -","30","3.0","12.00","0.00","4.00","0.00","36.4 %","0.0 %","36.4 %",".273","1.00",".429","100.0 %","0.00","1.19","-1.19","1.98","7441"
