"Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Sergio Valenzuela","- - -","22","1","3","7.00","32","5","0","0","0","1","3","72.0","360","102","66","56","8","37","0","12","11","0","38","sa254802"
"Jose Maria","Orioles (A)","24","2","5","7.01","19","3","0","0","0","0","1","34.2","166","45","33","27","3","17","1","1","3","0","21","sa328806"
"Harol Tolentino","- - -","18","2","1","7.01","17","4","0","0","1","2","0","34.2","162","34","29","27","3","23","2","6","4","3","37","sa393074"
"Kyle Collins","- - -","25","2","5","7.02","33","0","0","0","2","2","2","42.1","217","58","37","33","7","33","0","2","8","0","30","sa253730"
"Manuel Bernal","Mexican (AAA)","30","2","7","7.02","16","11","0","0","1","0","0","59.0","267","84","48","46","9","14","1","2","5","0","23","sa3000264"
"Francisco Andrade","Rays (R)","16","1","3","7.03","15","1","0","0","0","1","0","24.1","114","36","19","19","4","4","0","4","4","0","13","sa3000674"
"Miguel Lopez","Cardinals (R)","17","1","1","7.03","11","3","0","0","0","2","0","24.1","119","32","22","19","4","15","1","2","2","0","15","sa3000682"
"Guillermo Mota","Mets (AAA)","33","0","1","7.04","7","0","0","0","0","1","1","7.2","38","11","6","6","1","5","0","0","1","0","7","1467"
"Ramon Romeijn","Mariners (R)","16","0","0","7.04","6","0","0","0","0","0","0","7.2","36","9","7","6","0","5","1","0","0","3","9","sa394395"
"Colton Pitkin","Astros (R)","17","0","0","7.04","7","0","0","0","0","0","0","7.2","43","12","9","6","0","6","0","1","0","0","6","sa395349"
"Julio Soriano","- - -","23","2","2","7.04","13","0","0","0","0","0","0","23.0","120","23","22","18","2","25","0","4","2","0","29","sa267862"
"D.J. Mattox","Royals (AA)","27","0","5","7.04","8","6","0","0","0","0","1","38.1","179","38","33","30","6","20","2","6","3","1","26","sa200794"
"Pat Mahomes","Blue Jays (AAA)","36","1","1","7.04","3","3","0","0","0","0","0","15.1","72","24","12","12","2","3","0","0","1","0","6","291"
"Jonah Bayliss","Pirates (AAA)","26","3","2","7.06","16","0","0","0","0","3","0","21.2","97","23","19","17","5","10","1","0","0","0","17","4560"
"Chris Nicoll","Royals (A+)","23","2","4","7.06","12","10","0","0","0","0","1","43.1","197","40","35","34","4","22","0","8","8","0","33","sa295154"
"Michael O'Connor","Nationals (AA)","26","3","7","7.07","15","15","1","0","0","0","0","71.1","321","86","59","56","21","19","2","2","5","0","46","6457"
"Azael Alvarez","Mexican (AAA)","25","6","5","7.07","21","16","0","0","0","1","0","85.1","394","109","72","67","14","44","0","1","8","2","54","sa200944"
"Endy Marte","Dodgers (R)","18","1","0","7.07","11","0","0","0","0","1","0","14.0","69","20","13","11","1","8","0","0","3","2","17","sa3000747"
"Ben Henry","Rangers (R)","18","0","4","7.07","10","6","0","0","0","0","2","28.0","133","27","27","22","1","17","0","1","5","3","29","sa392234"
"Hansel Izquierdo","- - -","30","3","3","7.08","16","11","0","0","0","0","1","68.2","314","86","54","54","10","28","0","7","7","0","53","522"
"Daniel Bard","- - -","22","3","7","7.08","22","22","0","0","0","0","0","75.0","375","76","72","59","5","78","0","8","27","1","47","7115"
"J.B. Diaz","Rangers (A+)","24","4","3","7.08","38","12","0","0","1","0","1","101.2","472","146","87","80","23","30","1","5","4","1","60","sa323433"
"Brandon Taylor","- - -","24","2","0","7.09","11","0","0","0","0","0","1","26.2","134","34","24","21","1","16","0","3","6","0","11","sa291812"
"Diego Echeverria","Devil Rays (A-)","22","4","8","7.10","14","14","0","0","0","0","0","64.2","300","76","58","51","5","32","0","14","5","2","24","sa393082"
"Jose Marizan","- - -","19","1","4","7.11","14","7","0","0","0","0","0","31.2","155","35","29","25","3","31","0","0","1","2","29","sa393274"
"David Mota","- - -","20","1","2","7.11","13","0","0","0","0","2","3","19.0","103","20","19","15","0","23","0","2","10","0","19","sa503002"
"Jason Davis","Mariners (AAA)","27","0","2","7.11","5","5","0","0","0","0","0","25.1","123","37","21","20","2","14","0","0","1","0","16","1598"
"Manuel Al Flores","Mexican (AAA)","21","5","4","7.11","30","10","0","0","1","0","2","69.2","336","97","61","55","8","36","0","1","4","0","30","sa508195"
"Juan Ramon Mares","Mexican (AAA)","19","1","0","7.11","4","0","0","0","0","0","0","6.1","28","9","5","5","2","1","0","0","0","0","2","sa509460"
